minority,age,gender,credits,beauty,eval,division,native,tenure,students,allstudents
no,60,female,more,-0.0566766,4.4,upper,no,yes,11,13
no,60,female,more,-0.0566766,3.6,upper,no,yes,18,19
no,60,female,more,-0.0566766,4.2,upper,no,yes,11,22
no,60,female,more,-0.0566766,3.4,upper,no,yes,7,20
no,60,female,more,-0.0566766,4,upper,no,yes,24,27
no,32,male,more,1.231394,4.2,lower,yes,yes,111,127
no,32,male,more,1.231394,4.4,upper,yes,yes,62,85
no,32,male,more,1.231394,4.5,lower,yes,yes,76,101
no,32,male,more,1.231394,3.2,lower,yes,yes,9,21
no,32,male,more,1.231394,4.3,upper,yes,yes,52,86
yes,42,female,more,0.4203998,3.3,upper,no,yes,52,67
yes,42,female,more,0.4203998,3.2,upper,no,yes,54,66
yes,42,female,single,0.4203998,4.1,lower,no,yes,28,35
